place_id,population
"48008","721"
"1004","1821"
"35006","38138"
"15006","6041"
"43019","1660"
"50036","110"
"25036","224"
"49016","247"
"1009","1614"
"3019","20714"
"20014","1551"
"20903","6532"
"39008","18111"
"24008","10867"
"34017","995"
"49017","271"
"29021","168"
"6013","301"
"16026","112"
"37037","114"
"19043","100"
"9029","162"
"47011","583"
"18022","18706"
"20015","1693"
"28016","89"
"50037","151"
"50038","1762"
"31040","215"
"19044","405"
"48091","1366"
"46003","1165"
"12001","1276"
"48070","654"
"19045","142"
"31058","231"
"26020","780"
"42028","89"
"9030","133"
"34018","222"
"34019","128"
"26021","4512"
"5017","86"
"5018","24"
"25037","449"
"9032","108"
"8011","2226"
"5019","57744"
"33004","78182"
"8012","2275"
"17012","1610"
"8013","1701"
"32004","1795"
"1010","2974"
"21010","20946"
"31041","2366"
"22039","1009"
"40024","1196"
"2011","616"
"12017","159"
"49018","308"
"46044","5312"
"34020","52"
"31042","3843"
"44031","90"
"22040","168"
"22041","171"
"20017","11633"
"22042","143"
"41012","4586"
"41013","6091"
"26022","215"
"20018","14936"
"6014","7853"
"50039","540"
"12018","315"
"31043","31"
"19046","35009"
"45017","288"
"37038","885"
"4019","246"
"6015","150702"
"8015","220440"
"26023","482"
"44032","19"
"8904","13380"
"41014","3078"
"50040","85"
"22043","104"
"14007","19284"
"23009","15841"
"8016","2138"
"44033","287"
"50041","17"
"47012","108"
"9033","81"
"19047","56"
"23010","17667"
"22044","267"
"36003","12122"
"25039","335"
"31044","362"
"48012","2688"
"25040","17162"
"2012","2334"
"9034","324"
"24009","290"
"50042","16"
"22045","76"
"27004","1241"
"8017","3821"
"20904","138"
"2014","405"
"13022","373"
"22046","812"
"48090","7697"
"3020","131"
"2013","158"
"8018","3159"
"34022","1191"
"32005","962"
"15007","3450"
"26024","241"
"22047","295"
"32006","1528"
"24010","10338"
"37039","305"
"44034","144"
"1011","291"
"23011","2582"
"32007","1519"
"10024","759"
"26026","1579"
"26025","91"
"19048","19"
"9035","324"
"19049","14"
"9036","37"
"7007","515"
"3021","7068"
"43020","3170"
"17015","19826"
"34024","30"
"16027","932"
"48013","100881"
"27901","2556"
"31901","20199"
"42029","135"
"31045","621"
"32008","11037"
"37040","402"
"9037","107"
"9038","142"
"9039","68"
"37041","73"
"31046","55"
"22048","16979"
"11007","22518"
"25041","878"
"43021","473"
"8252","33091"
"50043","293"
"40025","158"
"22049","78"
"22050","96"
"42030","98"
"22051","103"
"6016","3510"
"8019","1636762"
"34025","59"
"39009","4246"
"39010","678"
"37042","46"
"16029","89"
"47013","92"
"49019","249"
"45018","872"
"5021","2312"
"32009","13395"
"42031","22"
"50044","254"
"39011","1950"
"45019","10332"
"31047","257"
"31048","214"
"24011","190"
"38007","1876"
"25042","237"
"12020","162"
"44035","112"
"5022","1861"
"10025","401"
"2015","1833"
"27005","2934"
"48014","1529"
"9041","33"
"19050","15"
"9043","198"
"9044","56"
"24012","314"
"11008","23642"
"36002","3680"
"5023","185"
"37044","450"
"34027","1186"
"47014","52"
"1013","883"
"46046","1277"
"46045","1601"
"31049","834"
"40026","153"
"48015","40589"
"17016","1004"
"9045","293"
"34028","143"
"9046","24"
"16030","18"
"25044","224"
"37045","28"
"43022","1890"
"6017","283"
"28017","1684"
"25045","58"
"4020","317"
"4021","215"
"42032","142"
"42033","57"
"18023","20412"
"31050","7777"
"44036","31"
"32010","397"
"16031","37"
"32011","971"
"21011","4257"
"18024","977"
"18025","329"
"23012","5130"
"20019","13880"
"5024","196"
"5025","84"
"44037","541"
"27006","2818"
"34029","727"
"28018","5714"
"47015","238"
"4022","971"
"48092","1067"
"23902","2642"
"23014","3029"
"27007","3026"
"8020","7098"
"17013","3925"
"31137","220"
"31051","286"
"4023","110"
"20020","143"
"37046","12739"
"12022","380"
"14008","3255"
"31052","122"
"20021","241"
"9047","61"
"50045","1505"
"37047","256"
"46047","673"
"25046","525"
"16032","334"
"25048","2315"
"25170","287"
"17018","693"
"25047","1230"
"25049","185"
"43023","280"
"44039","224"
"8021","64"
"25050","5133"
"46048","4608"
"46049","304"
"43024","2203"
"25051","1937"
"25052","2255"
"14009","2923"
"23015","1567"
"16033","1903"
"34031","30"
"50046","197"
"33005","1489"
"44038","113"
"28019","1664"
"16034","160"
"9048","1781"
"22052","1275"
"49020","275"
"45020","1522"
"10026","725"
"24014","8705"
"22053","1124"
"41015","7241"
"29022","215"
"47016","72"
"12024","152"
"12025","142"
"46050","192"
"46051","10988"
"4024","4382"
"29023","8085"
"29024","438"
"29025","68128"
"18027","3318"
"18028","1066"
"11901","6929"
"29026","1514"
"18029","2293"
"14010","4966"
"29027","3011"
"11009","671"
"29028","1476"
"29029","455"
"12026","1068"
"3022","151"
"22054","2155"
"23016","448"
"25053","1499"
"49021","17935"
"24015","2455"
"46052","619"
"49022","305"
"3023","1685"
"46053","651"
"3024","5402"
"46054","14799"
"3025","1942"
"3026","2092"
"3027","232"
"46055","1765"
"3028","1118"
"46056","223"
"12027","26912"
"12028","18192"
"46057","569"
"46904","1012"
"3030","1095"
"3031","68721"
"30010","11318"
"46060","11962"
"46059","1571"
"46058","2186"
"43025","739"
"3032","105"
"3033","140"
"46061","457"
"46062","5841"
"3029","490"
"3034","3322"
"3035","724"
"3036","97"
"3037","483"
"3038","409"
"3039","106"
"3040","418"
"46063","2268"
"46064","653"
"46065","1952"
"46066","1592"
"46067","2260"
"3041","11005"
"43026","1161"
"46068","430"
"46069","194"
"3042","4276"
"4026","58"
"4027","254"
"12029","1033"
"10027","81"
"6018","829"
"4028","238"
"24016","530"
"31250","3736"
"48016","7195"
"1014","453"
"22246","82"
"20022","1076"
"42034","47"
"22055","347"
"9050","54"
"31053","655"
"26027","157"
"47017","207"
"47018","36"
"18030","716"
"40028","111"
"5026","200"
"24017","562"
"24018","193"
"40029","24"
"50047","47"
"8022","16494"
"20074","14637"
"26028","148"
"26029","37"
"44040","235"
"15008","6633"
"31905","4069"
"4029","12415"
"5027","319"
"6019","2343"
"42035","856"
"24019","360"
"9051","184"
"37049","134"
"48017","16765"
"49023","1015"
"40030","476"
"1016","494"
"19051","49"
"40031","747"
"5029","102"
"48018","1245"
"31902","7256"
"31903","10426"
"48019","4623"
"20023","603"
"21012","312"
"37050","70"
"37051","84"
"10028","100"
"5030","46"
"47019","109"
"50048","34"
"28021","760"
"31054","612"
"10029","423"
"9052","29"
"28020","205"
"34032","40"
"17019","2492"
"17020","4960"
"35007","758"
"15009","12959"
"31055","366"
"46070","24272"
"16035","262"
"12021","5645"
"17021","190"
"26030","22"
"44041","70"
"3043","3671"
"46071","533"
"20024","520"
"31253","163"
"50901","154"
"22057","457"
"2016","603"
"6020","2087"
"22058","239"
"22059","1463"
"3044","6733"
"8023","9092"
"50050","94"
"48020","346843"
"33006","1681"
"22060","1575"
"22061","9561"
"7008","8567"
"25055","176"
"50051","941"
"22062","167"
"17022","10974"
"43027","216"
"43028","3528"
"22063","182"
"50052","92"
"17234","232"
"31056","214"
"42036","39"
"30011","6539"
"43029","389"
"44042","126"
"32012","766"
"17023","39028"
"5033","193"
"5034","16"
"5035","105"
"14011","661"
"22064","182"
"44043","94"
"42037","33"
"37052","302"
"34033","17"
"17029","252"
"34035","107"
"34034","121"
"28022","54570"
"33007","1505"
"28023","7508"
"26031","100"
"47020","293"
"32013","2285"
"24020","464"
"46072","4195"
"40032","723"
"47021","80"
"47022","75"
"19052","22"
"37054","270"
"6021","1049"
"47023","4206"
"37055","134"
"2017","842"
"5036","120"
"10030","500"
"5037","237"
"15010","1985"
"15011","18838"
"32014","1156"
"13023","11934"
"47024","291"
"46073","1356"
"41016","10787"
"21013","14272"
"32015","884"
"22066","1016"
"3045","420"
"17024","369"
"22067","88"
"24021","1832"
"21014","6058"
"43030","688"
"2018","1049"
"16036","146"
"5038","120"
"2019","2779"
"46074","3691"
"15012","4220"
"50053","787"
"22068","74"
"50054","56"
"25057","259"
"17025","1779"
"44044","100"
"29030","930"
"25058","6087"
"43031","2037"
"50055","4969"
"42038","33"
"41017","21972"
"11010","7670"
"42039","239"
"45021","3825"
"17026","714"
"8024","445"
"24022","315"
"12032","34683"
"12031","5360"
"11011","2145"
"25059","1109"
"43032","573"
"43033","1068"
"10031","175"
"50056","488"
"37056","55"
"27008","1481"
"49024","709"
"37057","229"
"25056","247"
"9054","95"
"5039","46"
"43034","692"
"47025","117"
"34036","271"
"28024","205"
"9055","56"
"13024","1005"
"24023","295"
"50057","1609"
"28025","524"
"17027","3740"
"38008","7204"
"38009","5690"
"41018","12471"
"49025","166"
"49026","213"
"40033","96"
"26032","44"
"19053","2410"
"49027","130"
"49028","104"
"26033","193"
"37058","58"
"15013","7837"
"26034","745"
"9056","6595"
"44045","432"
"22069","522"
"10032","1826"
"8025","2050"
"8026","263"
"28026","10736"
"17028","383"
"42041","31"
"50058","66"
"18032","296"
"16038","36"
"19054","196"
"44046","50"
"16039","459"
"16040","97"
"37059","127"
"45022","424"
"37060","360"
"34037","245"
"38010","4778"
"16041","400"
"36004","12009"
"46075","161"
"46076","727"
"9057","186"
"7009","1050"
"42042","65"
"28027","1884"
"14012","7417"
"19055","47"
"50059","985"
"5040","66"
"50060","221"
"30012","11530"
"9058","546"
"46077","9408"
"31057","2219"
"7010","6809"
"44047","249"
"27902","9588"
"50061","214"
"49029","663"
"50062","2436"
"42043","4940"
"29031","1800"
"24024","715"
"5041","1195"
"9059","175821"
"31059","207"
"41019","6716"
"45023","3172"
"6022","3057"
"46078","38024"
"31060","19096"
"24025","308"
"45024","1319"
"3046","2978"
"18033","289"
"19057","79"
"28028","2503"
"50063","66"
"47026","69"
"34038","293"
"49030","84"
"24026","1165"
"34039","60"
"9060","139"
"31061","56"
"48021","1616"
